"Year","ID","Name","Median.Household.Income.","X90..Confidence.Interval"
2014,17000,"Illinois","57,458","57,035 to 57,881"
2015,17000,"Illinois","59,590","59,086 to 60,094"
2016,17000,"Illinois","60,977","60,591 to 61,363"
2017,17000,"Illinois","63,044","62,509 to 63,579"
2018,17000,"Illinois","65,063","64,570 to 65,556"
2019,17000,"Illinois","69,212","68,633 to 69,791"
2010,17031,"Cook County","51,457","50,994 to 51,920"
2011,17031,"Cook County","50,806","50,286 to 51,326"
2012,17031,"Cook County","52,160","51,574 to 52,746"
2013,17031,"Cook County","53,795","52,947 to 54,643"
2014,17031,"Cook County","55,058","54,418 to 55,698"
2015,17031,"Cook County","56,841","56,197 to 57,485"
2016,17031,"Cook County","60,025","59,262 to 60,788"
2017,17031,"Cook County","61,401","60,743 to 62,059"
2018,17031,"Cook County","63,347","62,265 to 64,429"
2019,17031,"Cook County","69,375","68,331 to 70,419"
2010,17163,"St. Clair County","47,027","44,393 to 49,661"
2011,17163,"St. Clair County","49,634","47,204 to 52,064"
2012,17163,"St. Clair County","46,921","44,474 to 49,368"
2013,17163,"St. Clair County","48,343","45,523 to 51,163"
2014,17163,"St. Clair County","50,155","47,200 to 53,110"
2015,17163,"St. Clair County","50,416","47,718 to 53,114"
2016,17163,"St. Clair County","50,598","48,321 to 52,875"
2017,17163,"St. Clair County","51,937","49,889 to 53,985"
2018,17163,"St. Clair County","58,222","55,036 to 61,408"
2019,17163,"St. Clair County","57,726","53,261 to 62,191"
2010,18000,"Indiana","44,616","44,178 to 45,054"
2011,18000,"Indiana","46,410","45,964 to 46,856"
2012,18000,"Indiana","46,954","46,540 to 47,368"
2013,18000,"Indiana","47,508","47,002 to 48,014"
2014,18000,"Indiana","49,384","48,906 to 49,862"
2015,18000,"Indiana","50,510","50,126 to 50,894"
2016,18000,"Indiana","52,289","51,922 to 52,656"
2017,18000,"Indiana","54,134","53,493 to 54,775"
2018,18000,"Indiana","55,725","55,210 to 56,240"
2019,18000,"Indiana","57,617","56,947 to 58,287"
2010,18089,"Lake County","45,252","43,532 to 46,972"
2011,18089,"Lake County","48,143","46,226 to 50,060"
2012,18089,"Lake County","48,015","46,307 to 49,723"
2013,18089,"Lake County","48,341","46,222 to 50,460"
2014,18089,"Lake County","50,774","49,451 to 52,097"
2015,18089,"Lake County","50,613","49,280 to 51,946"
2016,18089,"Lake County","53,600","51,893 to 55,307"
2017,18089,"Lake County","54,929","53,180 to 56,678"
2018,18089,"Lake County","55,280","53,202 to 57,358"
2019,18089,"Lake County","57,280","54,984 to 59,576"
2010,18097,"Marion County","39,393","38,258 to 40,528"
2011,18097,"Marion County","39,957","38,780 to 41,134"
2012,18097,"Marion County","41,586","40,487 to 42,685"
2013,18097,"Marion County","41,478","40,599 to 42,357"
2014,18097,"Marion County","42,700","41,682 to 43,718"
2015,18097,"Marion County","41,407","40,503 to 42,311"
2016,18097,"Marion County","45,300","43,704 to 46,896"
2017,18097,"Marion County","47,642","46,147 to 49,137"
2018,18097,"Marion County","48,409","46,485 to 50,333"
2019,18097,"Marion County","50,707","49,272 to 52,142"
2010,19000,"Iowa","48,031","47,421 to 48,641"
2011,19000,"Iowa","49,545","48,882 to 50,208"
2012,19000,"Iowa","50,997","50,573 to 51,421"
2013,19000,"Iowa","52,286","51,764 to 52,808"
2014,19000,"Iowa","53,816","53,087 to 54,545"
2015,19000,"Iowa","54,843","54,080 to 55,606"
2016,19000,"Iowa","56,354","55,677 to 57,031"
2017,19000,"Iowa","58,706","57,889 to 59,523"
2018,19000,"Iowa","60,071","59,227 to 60,915"
2019,19000,"Iowa","61,807","61,069 to 62,545"
2010,19153,"Polk County","54,328","52,152 to 56,504"
2011,19153,"Polk County","56,091","53,772 to 58,410"
2012,19153,"Polk County","57,942","55,980 to 59,904"
2013,19153,"Polk County","59,388","57,326 to 61,450"
2014,19153,"Polk County","61,028","59,337 to 62,719"
2015,19153,"Polk County","60,436","58,480 to 62,392"
2016,19153,"Polk County","64,169","61,624 to 66,714"
2017,19153,"Polk County","66,112","64,099 to 68,125"
2018,19153,"Polk County","68,479","65,793 to 71,165"
2019,19153,"Polk County","67,331","64,854 to 69,808"
2010,19163,"Scott County","47,800","46,110 to 49,490"
2011,19163,"Scott County","50,007","48,110 to 51,904"
2012,19163,"Scott County","53,315","50,649 to 55,981"
2013,19163,"Scott County","54,444","51,241 to 57,647"
2014,19163,"Scott County","54,959","52,796 to 57,122"
2015,19163,"Scott County","58,160","54,823 to 61,497"
2016,19163,"Scott County","56,208","52,745 to 59,671"
2017,19163,"Scott County","59,461","55,592 to 63,330"
2018,19163,"Scott County","59,865","56,196 to 63,534"
2019,19163,"Scott County","65,724","61,845 to 69,603"
2010,21000,"Kentucky","40,089","39,605 to 40,573"
2011,21000,"Kentucky","41,141","40,687 to 41,595"
2012,21000,"Kentucky","41,717","41,304 to 42,130"
2013,21000,"Kentucky","43,307","42,676 to 43,938"
2014,21000,"Kentucky","42,914","42,243 to 43,585"
2015,21000,"Kentucky","45,178","44,714 to 45,642"
2016,21000,"Kentucky","46,610","46,022 to 47,198"
2017,21000,"Kentucky","48,332","47,716 to 48,948"
2018,21000,"Kentucky","50,189","49,631 to 50,747"
2019,21000,"Kentucky","52,256","51,639 to 52,873"
2010,21111,"Jefferson County","42,535","41,428 to 43,642"
2011,21111,"Jefferson County","45,407","43,971 to 46,843"
2012,21111,"Jefferson County","45,913","44,774 to 47,052"
2013,21111,"Jefferson County","47,495","46,174 to 48,816"
2014,21111,"Jefferson County","48,264","46,792 to 49,736"
2015,21111,"Jefferson County","51,230","50,232 to 52,228"
2016,21111,"Jefferson County","52,008","50,640 to 53,376"
2017,21111,"Jefferson County","54,977","53,225 to 56,729"
2018,21111,"Jefferson County","55,860","54,375 to 57,345"
2019,21111,"Jefferson County","59,025","56,972 to 61,078"
2010,22000,"Louisiana","42,510","41,852 to 43,168"
2011,22000,"Louisiana","41,804","41,290 to 42,318"
2012,22000,"Louisiana","42,998","42,346 to 43,650"
2013,22000,"Louisiana","44,234","43,412 to 45,056"
2014,22000,"Louisiana","44,680","43,971 to 45,389"
2015,22000,"Louisiana","45,829","45,174 to 46,484"
2016,22000,"Louisiana","45,374","44,621 to 46,127"
2017,22000,"Louisiana","46,283","45,663 to 46,903"
2018,22000,"Louisiana","48,021","47,301 to 48,741"
2019,22000,"Louisiana","51,108","50,529 to 51,687"
2010,22033,"East Baton Rouge Parish","44,911","42,829 to 46,993"
2011,22033,"East Baton Rouge Parish","45,924","43,957 to 47,891"
2012,22033,"East Baton Rouge Parish","47,389","45,765 to 49,013"
2013,22033,"East Baton Rouge Parish","47,770","45,480 to 50,060"
2014,22033,"East Baton Rouge Parish","46,831","44,520 to 49,142"
2015,22033,"East Baton Rouge Parish","50,389","49,055 to 51,723"
2016,22033,"East Baton Rouge Parish","50,451","48,946 to 51,956"
2017,22033,"East Baton Rouge Parish","54,494","51,840 to 57,148"
2018,22033,"East Baton Rouge Parish","52,945","50,415 to 55,475"
2019,22033,"East Baton Rouge Parish","56,303","53,569 to 59,037"
2010,23000,"Maine","45,882","45,042 to 46,722"
2011,23000,"Maine","46,160","45,405 to 46,915"
2012,23000,"Maine","46,856","46,021 to 47,691"
2013,23000,"Maine","47,095","46,334 to 47,856"
2014,23000,"Maine","49,381","48,366 to 50,396"
2015,23000,"Maine","51,419","50,597 to 52,241"
2016,23000,"Maine","52,926","51,690 to 54,162"
2017,23000,"Maine","55,980","54,896 to 57,064"
2018,23000,"Maine","55,579","54,367 to 56,791"
2019,23000,"Maine","58,824","57,230 to 60,418"
2010,23003,"Aroostook County","36,344","34,279 to 38,409"
2011,23003,"Aroostook County","35,572","33,559 to 37,585"
2012,23003,"Aroostook County","37,996","35,975 to 40,017"
2013,23003,"Aroostook County","37,092","35,069 to 39,115"
2014,23003,"Aroostook County","36,066","34,092 to 38,040"
2015,23003,"Aroostook County","37,104","35,391 to 38,817"
2016,23003,"Aroostook County","39,746","37,212 to 42,280"
2017,23003,"Aroostook County","42,600","39,911 to 45,289"
2018,23003,"Aroostook County","39,450","37,008 to 41,892"
2019,23003,"Aroostook County","40,675","37,613 to 43,737"
2010,23005,"Cumberland County","57,424","54,823 to 60,025"
2011,23005,"Cumberland County","55,459","52,246 to 58,672"
2012,23005,"Cumberland County","55,456","53,442 to 57,470"
2013,23005,"Cumberland County","55,020","52,544 to 57,496"
2014,23005,"Cumberland County","61,436","59,325 to 63,547"
2015,23005,"Cumberland County","63,191","60,406 to 65,976"
2016,23005,"Cumberland County","65,475","63,412 to 67,538"
2017,23005,"Cumberland County","70,661","67,721 to 73,601"
2018,23005,"Cumberland County","71,586","68,598 to 74,574"
2019,23005,"Cumberland County","75,254","72,072 to 78,436"
2010,24000,"Maryland","68,933","68,100 to 69,766"
2011,24000,"Maryland","70,075","69,315 to 70,835"
2012,24000,"Maryland","71,169","70,606 to 71,732"
2013,24000,"Maryland","72,482","71,789 to 73,175"
2014,24000,"Maryland","73,851","73,027 to 74,675"
2015,24000,"Maryland","75,784","75,203 to 76,365"
2016,24000,"Maryland","78,787","78,070 to 79,504"
2017,24000,"Maryland","80,711","80,023 to 81,399"
2018,24000,"Maryland","83,076","82,103 to 84,049"
2019,24000,"Maryland","86,644","85,734 to 87,554"
2010,24033,"Prince George's County","69,524","67,915 to 71,133"
2011,24033,"Prince George's County","70,114","68,203 to 72,025"
2012,24033,"Prince George's County","69,258","67,425 to 71,091"
2013,24033,"Prince George's County","71,682","70,302 to 73,062"
2014,24033,"Prince George's County","71,904","70,457 to 73,351"
2015,24033,"Prince George's County","76,366","75,162 to 77,570"
2016,24033,"Prince George's County","78,680","77,173 to 80,187"
2017,24033,"Prince George's County","80,858","79,487 to 82,229"
2018,24033,"Prince George's County","82,445","80,750 to 84,140"
2019,24033,"Prince George's County","85,357","82,987 to 87,727"
2010,25000,"Massachusetts","62,133","61,734 to 62,532"
2011,25000,"Massachusetts","63,126","62,285 to 63,967"
2012,25000,"Massachusetts","65,378","64,757 to 65,999"
2013,25000,"Massachusetts","66,794","66,105 to 67,483"
2014,25000,"Massachusetts","69,200","68,303 to 70,097"
2015,25000,"Massachusetts","70,659","70,051 to 71,267"
2016,25000,"Massachusetts","75,207","74,461 to 75,953"
2017,25000,"Massachusetts","77,385","76,519 to 78,251"
2018,25000,"Massachusetts","79,817","78,891 to 80,743"
2019,25000,"Massachusetts","85,700","84,739 to 86,661"
2010,25013,"Hampden County","46,356","44,721 to 47,991"
2011,25013,"Hampden County","47,313","44,721 to 49,905"
2012,25013,"Hampden County","48,386","46,246 to 50,526"
2013,25013,"Hampden County","48,560","46,391 to 50,729"
2014,25013,"Hampden County","49,072","47,009 to 51,135"
2015,25013,"Hampden County","51,415","50,133 to 52,697"
2016,25013,"Hampden County","51,589","49,718 to 53,460"
2017,25013,"Hampden County","51,850","50,312 to 53,388"
2018,25013,"Hampden County","52,682","50,400 to 54,964"
2019,25013,"Hampden County","59,918","57,666 to 62,170"
2010,27000,"Minnesota","55,422","54,978 to 55,866"
2011,27000,"Minnesota","56,944","56,467 to 57,421"
2012,27000,"Minnesota","58,828","58,186 to 59,470"
2013,27000,"Minnesota","60,664","60,237 to 61,091"
2014,27000,"Minnesota","61,473","61,010 to 61,936"
2015,27000,"Minnesota","63,459","62,805 to 64,113"
2016,27000,"Minnesota","65,583","64,989 to 66,177"
2017,27000,"Minnesota","68,364","67,722 to 69,006"
2018,27000,"Minnesota","70,295","69,764 to 70,826"
2019,27000,"Minnesota","74,529","73,721 to 75,337"
2010,27003,"Anoka County","65,732","64,199 to 67,265"
2011,27003,"Anoka County","63,799","62,047 to 65,551"
2012,27003,"Anoka County","67,811","65,500 to 70,122"
2013,27003,"Anoka County","70,619","68,655 to 72,583"
2014,27003,"Anoka County","70,868","68,885 to 72,851"
2015,27003,"Anoka County","73,276","70,493 to 76,059"
2016,27003,"Anoka County","76,497","74,194 to 78,800"
2017,27003,"Anoka County","79,097","76,805 to 81,389"
2018,27003,"Anoka County","82,284","79,732 to 84,836"
2019,27003,"Anoka County","83,363","81,032 to 85,694"
2010,27053,"Hennepin County","59,252","57,899 to 60,605"
2011,27053,"Hennepin County","60,811","59,850 to 61,772"
2012,27053,"Hennepin County","62,500","61,058 to 63,942"
2013,27053,"Hennepin County","64,331","62,947 to 65,715"
2014,27053,"Hennepin County","64,490","62,862 to 66,118"
2015,27053,"Hennepin County","68,902","67,520 to 70,284"
2016,27053,"Hennepin County","71,184","69,901 to 72,467"
2017,27053,"Hennepin County","74,568","73,148 to 75,988"
2018,27053,"Hennepin County","76,067","74,737 to 77,397"
2019,27053,"Hennepin County","82,323","81,051 to 83,595"
2010,28000,"Mississippi","36,992","36,390 to 37,594"
2011,28000,"Mississippi","36,963","36,399 to 37,527"
2012,28000,"Mississippi","37,179","36,612 to 37,746"
2013,28000,"Mississippi","38,191","37,229 to 39,153"
2014,28000,"Mississippi","39,738","38,998 to 40,478"
2015,28000,"Mississippi","40,630","40,095 to 41,165"
2016,28000,"Mississippi","41,793","41,247 to 42,339"
2017,28000,"Mississippi","43,595","42,773 to 44,417"
2018,28000,"Mississippi","44,740","43,972 to 45,508"
2019,28000,"Mississippi","45,928","44,793 to 47,063"
2010,28049,"Hinds County","37,265","35,567 to 38,963"
2011,28049,"Hinds County","35,014","32,712 to 37,316"
2012,28049,"Hinds County","34,786","32,953 to 36,619"
2013,28049,"Hinds County","34,826","32,690 to 36,962"
2014,28049,"Hinds County","38,454","36,594 to 40,314"
2015,28049,"Hinds County","39,158","36,571 to 41,745"
2016,28049,"Hinds County","42,903","40,761 to 45,045"
2017,28049,"Hinds County","44,076","41,264 to 46,888"
2018,28049,"Hinds County","44,776","42,642 to 46,910"
2019,28049,"Hinds County","44,773","42,431 to 47,115"
2010,29000,"Missouri","44,306","43,819 to 44,793"
2011,29000,"Missouri","45,231","44,718 to 45,744"
2012,29000,"Missouri","45,320","44,909 to 45,731"
2013,29000,"Missouri","46,905","46,483 to 47,327"
2014,29000,"Missouri","48,288","47,734 to 48,842"
2015,29000,"Missouri","50,200","49,789 to 50,611"
2016,29000,"Missouri","51,713","51,343 to 52,083"
2017,29000,"Missouri","53,506","52,890 to 54,122"
2018,29000,"Missouri","54,412","53,683 to 55,141"
2019,29000,"Missouri","57,375","56,741 to 58,009"
2010,29510,"St. Louis city","32,767","31,509 to 34,025"
2011,29510,"St. Louis city","32,576","31,112 to 34,040"
2012,29510,"St. Louis city","32,084","30,986 to 33,182"
2013,29510,"St. Louis city","34,346","32,860 to 35,832"
2014,29510,"St. Louis city","35,681","34,114 to 37,248"
2015,29510,"St. Louis city","37,948","36,421 to 39,475"
2016,29510,"St. Louis city","39,954","38,615 to 41,293"
2017,29510,"St. Louis city","40,876","38,984 to 42,768"
2018,29510,"St. Louis city","43,263","41,328 to 45,198"
2019,29510,"St. Louis city","46,309","43,939 to 48,679"
2010,32000,"Nevada","50,987","50,262 to 51,712"
2011,32000,"Nevada","49,099","48,171 to 50,027"
2012,32000,"Nevada","49,909","49,131 to 50,687"
2013,32000,"Nevada","51,250","50,676 to 51,824"
2014,32000,"Nevada","51,487","50,828 to 52,146"
2015,32000,"Nevada","52,544","51,612 to 53,476"
2016,32000,"Nevada","55,201","54,342 to 56,060"
2017,32000,"Nevada","57,932","57,032 to 58,832"
2018,32000,"Nevada","58,740","57,678 to 59,802"
2019,32000,"Nevada","63,268","62,281 to 64,255"
2010,32003,"Clark County","51,427","50,599 to 52,255"
2011,32003,"Clark County","48,343","47,061 to 49,625"
2012,32003,"Clark County","49,583","48,700 to 50,466"
2013,32003,"Clark County","51,071","50,321 to 51,821"
2014,32003,"Clark County","51,241","50,479 to 52,003"
2015,32003,"Clark County","51,624","50,720 to 52,528"
2016,32003,"Clark County","54,455","53,248 to 55,662"
2017,32003,"Clark County","57,217","56,235 to 58,199"
2018,32003,"Clark County","57,155","56,063 to 58,247"
2019,32003,"Clark County","62,131","61,245 to 63,017"
2010,33000,"New Hampshire","60,917","59,946 to 61,888"
2011,33000,"New Hampshire","62,436","61,238 to 63,634"
2012,33000,"New Hampshire","63,157","61,881 to 64,433"
2013,33000,"New Hampshire","64,064","62,869 to 65,259"
2014,33000,"New Hampshire","66,469","65,316 to 67,622"
2015,33000,"New Hampshire","70,003","68,837 to 71,169"
2016,33000,"New Hampshire","70,986","69,715 to 72,257"
2017,33000,"New Hampshire","73,638","72,173 to 75,103"
2018,33000,"New Hampshire","75,322","73,932 to 76,712"
2019,33000,"New Hampshire","78,571","76,786 to 80,356"
2010,33011,"Hillsborough County","67,650","65,452 to 69,848"
2011,33011,"Hillsborough County","66,275","63,910 to 68,640"
2012,33011,"Hillsborough County","68,150","65,233 to 71,067"
2013,33011,"Hillsborough County","67,162","64,221 to 70,103"
2014,33011,"Hillsborough County","71,233","69,594 to 72,872"
2015,33011,"Hillsborough County","73,474","70,335 to 76,613"
2016,33011,"Hillsborough County","75,997","74,032 to 77,962"
2017,33011,"Hillsborough County","78,171","75,248 to 81,094"
2018,33011,"Hillsborough County","78,714","76,018 to 81,410"
2019,33011,"Hillsborough County","82,862","78,668 to 87,056"
2010,33015,"Rockingham County","73,402","70,807 to 75,997"
2011,33015,"Rockingham County","75,285","72,090 to 78,480"
2012,33015,"Rockingham County","76,285","74,160 to 78,410"
2013,33015,"Rockingham County","74,785","71,147 to 78,423"
2014,33015,"Rockingham County","79,653","76,874 to 82,432"
2015,33015,"Rockingham County","87,103","84,377 to 89,829"
2016,33015,"Rockingham County","82,016","78,042 to 85,990"
2017,33015,"Rockingham County","89,049","85,453 to 92,645"
2018,33015,"Rockingham County","93,645","88,384 to 98,906"
2019,33015,"Rockingham County","91,416","88,232 to 94,600"
2010,34000,"New Jersey","67,719","67,011 to 68,427"
2011,34000,"New Jersey","67,574","66,885 to 68,263"
2012,34000,"New Jersey","69,705","69,020 to 70,390"
2013,34000,"New Jersey","70,224","69,689 to 70,759"
2014,34000,"New Jersey","71,968","71,536 to 72,400"
2015,34000,"New Jersey","72,337","71,736 to 72,938"
2016,34000,"New Jersey","76,212","75,530 to 76,894"
2017,34000,"New Jersey","80,106","79,451 to 80,761"
2018,34000,"New Jersey","81,777","81,105 to 82,449"
2019,34000,"New Jersey","85,786","85,040 to 86,532"
2010,34007,"Camden County","56,939","54,856 to 59,022"
2011,34007,"Camden County","57,261","54,821 to 59,701"
2012,34007,"Camden County","58,572","56,242 to 60,902"
2013,34007,"Camden County","57,641","54,815 to 60,467"
2014,34007,"Camden County","61,685","59,433 to 63,937"
2015,34007,"Camden County","63,589","60,570 to 66,608"
2016,34007,"Camden County","65,838","63,711 to 67,965"
2017,34007,"Camden County","65,817","63,326 to 68,308"
2018,34007,"Camden County","67,135","64,499 to 69,771"
2019,34007,"Camden County","73,168","70,794 to 75,542"
2010,34013,"Essex County","52,288","51,102 to 53,474"
2011,34013,"Essex County","51,021","49,650 to 52,392"
2012,34013,"Essex County","51,019","49,582 to 52,456"
2013,34013,"Essex County","53,358","51,134 to 55,582"
2014,34013,"Essex County","54,603","52,841 to 56,365"
2015,34013,"Essex County","52,206","50,821 to 53,591"
2016,34013,"Essex County","54,879","51,951 to 57,807"
2017,34013,"Essex County","60,284","58,276 to 62,292"
2018,34013,"Essex County","62,875","59,935 to 65,815"
2019,34013,"Essex County","64,522","61,993 to 67,051"
2010,34017,"Hudson County","53,547","51,326 to 55,768"
2011,34017,"Hudson County","55,133","52,658 to 57,608"
2012,34017,"Hudson County","56,087","53,891 to 58,283"
2013,34017,"Hudson County","55,699","54,047 to 57,351"
2014,34017,"Hudson County","57,720","55,552 to 59,888"
2015,34017,"Hudson County","60,053","58,430 to 61,676"
2016,34017,"Hudson County","63,157","61,211 to 65,103"
2017,34017,"Hudson County","65,673","62,522 to 68,824"
2018,34017,"Hudson County","73,337","71,198 to 75,476"
2019,34017,"Hudson County","77,738","75,224 to 80,252"
2010,35000,"New Mexico","42,186","41,505 to 42,867"
2011,35000,"New Mexico","42,097","41,340 to 42,854"
2012,35000,"New Mexico","42,828","41,985 to 43,671"
2013,35000,"New Mexico","44,026","43,134 to 44,918"
2014,35000,"New Mexico","44,905","44,100 to 45,710"
2015,35000,"New Mexico","45,524","44,685 to 46,363"
2016,35000,"New Mexico","46,844","46,050 to 47,638"
2017,35000,"New Mexico","47,086","45,974 to 48,198"
2018,35000,"New Mexico","47,405","46,537 to 48,273"
2019,35000,"New Mexico","52,021","51,081 to 52,961"
2010,35001,"Bernalillo County","47,405","45,769 to 49,041"
2011,35001,"Bernalillo County","44,224","42,314 to 46,134"
2012,35001,"Bernalillo County","46,200","44,461 to 47,939"
2013,35001,"Bernalillo County","48,053","45,999 to 50,107"
2014,35001,"Bernalillo County","47,192","45,738 to 48,646"
2015,35001,"Bernalillo County","47,870","46,329 to 49,411"
2016,35001,"Bernalillo County","50,599","49,399 to 51,799"
2017,35001,"Bernalillo County","51,091","49,697 to 52,485"
2018,35001,"Bernalillo County","51,372","49,762 to 52,982"
2019,35001,"Bernalillo County","56,148","53,944 to 58,352"
2010,36000,"New York","54,047","53,677 to 54,417"
2011,36000,"New York","55,147","54,754 to 55,540"
2012,36000,"New York","56,357","55,989 to 56,725"
2013,36000,"New York","57,255","56,828 to 57,682"
2014,36000,"New York","58,771","58,381 to 59,161"
2015,36000,"New York","60,805","60,500 to 61,110"
2016,36000,"New York","62,700","62,081 to 63,319"
2017,36000,"New York","64,783","64,283 to 65,283"
2018,36000,"New York","67,648","67,021 to 68,275"
2019,36000,"New York","72,038","71,588 to 72,488"
2010,36005,"Bronx County","32,674","31,401 to 33,947"
2011,36005,"Bronx County","32,137","31,208 to 33,066"
2012,36005,"Bronx County","32,510","31,621 to 33,399"
2013,36005,"Bronx County","33,079","31,623 to 34,535"
2014,36005,"Bronx County","33,687","32,142 to 35,232"
2015,36005,"Bronx County","35,102","33,809 to 36,395"
2016,36005,"Bronx County","37,355","36,207 to 38,503"
2017,36005,"Bronx County","37,377","36,023 to 38,731"
2018,36005,"Bronx County","38,566","36,826 to 40,306"
2019,36005,"Bronx County","41,470","40,379 to 42,561"
2010,36029,"Erie County","46,773","45,633 to 47,913"
2011,36029,"Erie County","47,505","46,528 to 48,482"
2012,36029,"Erie County","50,370","49,331 to 51,409"
2013,36029,"Erie County","51,123","50,045 to 52,201"
2014,36029,"Erie County","50,134","49,067 to 51,201"
2015,36029,"Erie County","52,176","51,055 to 53,297"
2016,36029,"Erie County","54,175","52,838 to 55,512"
2017,36029,"Erie County","55,581","54,391 to 56,771"
2018,36029,"Erie County","56,375","55,346 to 57,404"
2019,36029,"Erie County","60,620","59,480 to 61,760"
2010,36055,"Monroe County","49,564","48,147 to 50,981"
2011,36055,"Monroe County","50,247","48,819 to 51,675"
2012,36055,"Monroe County","50,811","49,467 to 52,155"
2013,36055,"Monroe County","51,722","50,553 to 52,891"
2014,36055,"Monroe County","51,371","50,069 to 52,673"
2015,36055,"Monroe County","54,204","52,336 to 56,072"
2016,36055,"Monroe County","54,684","53,027 to 56,341"
2017,36055,"Monroe County","57,660","55,883 to 59,437"
2018,36055,"Monroe County","60,240","58,654 to 61,826"
2019,36055,"Monroe County","62,159","60,568 to 63,750"
2010,36081,"Queens County","52,486","51,232 to 53,740"
2011,36081,"Queens County","53,124","51,934 to 54,314"
2012,36081,"Queens County","54,373","53,506 to 55,240"
2013,36081,"Queens County","56,307","55,538 to 57,076"
2014,36081,"Queens County","56,866","55,895 to 57,837"
2015,36081,"Queens County","60,241","59,671 to 60,811"
2016,36081,"Queens County","61,844","60,926 to 62,762"
2017,36081,"Queens County","64,046","62,995 to 65,097"
2018,36081,"Queens County","68,432","67,082 to 69,782"
2019,36081,"Queens County","72,975","71,573 to 74,377"
2010,37000,"North Carolina","43,417","43,053 to 43,781"
2011,37000,"North Carolina","44,028","43,522 to 44,534"
2012,37000,"North Carolina","45,195","44,809 to 45,581"
2013,37000,"North Carolina","45,946","45,527 to 46,365"
2014,37000,"North Carolina","46,596","46,219 to 46,973"
2015,37000,"North Carolina","47,884","47,370 to 48,398"
2016,37000,"North Carolina","50,595","50,305 to 50,885"
2017,37000,"North Carolina","52,797","52,295 to 53,299"
2018,37000,"North Carolina","53,922","53,358 to 54,486"
2019,37000,"North Carolina","57,388","56,784 to 57,992"
2010,37067,"Forsyth County","44,443","42,205 to 46,681"
2011,37067,"Forsyth County","43,804","41,679 to 45,929"
2012,37067,"Forsyth County","43,049","41,459 to 44,639"
2013,37067,"Forsyth County","46,163","43,952 to 48,374"
2014,37067,"Forsyth County","45,944","43,656 to 48,232"
2015,37067,"Forsyth County","47,346","44,980 to 49,712"
2016,37067,"Forsyth County","48,987","46,723 to 51,251"
2017,37067,"Forsyth County","50,803","48,581 to 53,025"
2018,37067,"Forsyth County","50,112","47,826 to 52,398"
2019,37067,"Forsyth County","53,054","50,280 to 55,828"
2010,37119,"Mecklenburg County","52,363","51,155 to 53,571"
2011,37119,"Mecklenburg County","52,111","50,968 to 53,254"
2012,37119,"Mecklenburg County","55,392","54,014 to 56,770"
2013,37119,"Mecklenburg County","54,657","52,922 to 56,392"
2014,37119,"Mecklenburg County","59,049","56,986 to 61,112"
2015,37119,"Mecklenburg County","57,029","55,932 to 58,126"
2016,37119,"Mecklenburg County","63,197","61,056 to 65,338"
2017,37119,"Mecklenburg County","65,750","64,001 to 67,499"
2018,37119,"Mecklenburg County","64,509","62,273 to 66,745"
2019,37119,"Mecklenburg County","69,455","67,103 to 71,807"
2010,38000,"North Dakota","48,878","47,689 to 50,067"
2011,38000,"North Dakota","52,135","51,032 to 53,238"
2012,38000,"North Dakota","54,579","53,273 to 55,885"
2013,38000,"North Dakota","56,800","55,497 to 58,103"
2014,38000,"North Dakota","60,227","58,786 to 61,668"
2015,38000,"North Dakota","61,674","60,168 to 63,180"
2016,38000,"North Dakota","61,898","60,498 to 63,298"
2017,38000,"North Dakota","62,400","61,392 to 63,408"
2018,38000,"North Dakota","65,250","63,367 to 67,133"
2019,38000,"North Dakota","67,402","64,920 to 69,884"
2010,38015,"Burleigh County","55,565","51,639 to 59,491"
2011,38015,"Burleigh County","57,519","53,654 to 61,384"
2012,38015,"Burleigh County","62,104","58,947 to 65,261"
2013,38015,"Burleigh County","63,503","59,280 to 67,726"
2014,38015,"Burleigh County","66,734","62,046 to 71,422"
2015,38015,"Burleigh County","66,057","62,050 to 70,064"
2016,38015,"Burleigh County","66,406","61,710 to 71,102"
2017,38015,"Burleigh County","70,075","65,540 to 74,610"
2018,38015,"Burleigh County","72,277","67,048 to 77,506"
2019,38015,"Burleigh County","73,565","68,900 to 78,230"
2010,38017,"Cass County","50,932","48,323 to 53,541"
2011,38017,"Cass County","52,444","48,630 to 56,258"
2012,38017,"Cass County","51,995","48,995 to 54,995"
2013,38017,"Cass County","53,077","50,280 to 55,874"
2014,38017,"Cass County","53,755","50,857 to 56,653"
2015,38017,"Cass County","55,946","52,141 to 59,751"
2016,38017,"Cass County","59,711","55,951 to 63,471"
2017,38017,"Cass County","64,428","60,695 to 68,161"
2018,38017,"Cass County","63,885","58,898 to 68,872"
2019,38017,"Cass County","63,977","59,469 to 68,485"
2010,39000,"Ohio","45,151","44,860 to 45,442"
2011,39000,"Ohio","45,803","45,487 to 46,119"
2012,39000,"Ohio","46,873","46,582 to 47,164"
2013,39000,"Ohio","48,138","47,736 to 48,540"
2014,39000,"Ohio","49,349","48,991 to 49,707"
2015,39000,"Ohio","51,086","50,853 to 51,319"
2016,39000,"Ohio","52,357","52,083 to 52,631"
2017,39000,"Ohio","54,077","53,670 to 54,484"
2018,39000,"Ohio","56,155","55,735 to 56,575"
2019,39000,"Ohio","58,704","58,147 to 59,261"
2010,39035,"Cuyahoga County","41,407","40,745 to 42,069"
